date	likes	retweets	text	username
Thu Jun 14 20:09:21 +0000 2018	5	3	Happy #FlagDay. The Stars and Stripes is the greatest symbol of freedom in the world. https://t.co/eo4jeJlcky	CongressmanGT
Thu Jun 14 16:15:16 +0000 2018	3	1	On Floor to commemorate #FlagDay &amp; celebrate the #USArmy 243rd birthday.	CongressmanGT
Thu Jun 14 15:52:16 +0000 2018	3	2	Happy 243rd birthday to the @USArmy. This proud Army Dad wishes all of our Soldiers and their families a happy birthday! #ArmyBDay #ArmyStrong #FlagDay https://t.co/xPplxIW3FZ	CongressmanGT
Thu Jun 14 15:00:07 +0000 2018	0	1	In #NaturalResource #Energy &amp; #Mineral Resources hearing on the discussion H.R. draft titled “Enhancing State Management of Federal Lands and Waters Act”.	CongressmanGT
Thu Jun 14 16:26:16 +0000 2018	7	2	For 243 years, dedicated heroes of the @USArmy have proudly defended our Nation. I enjoyed thanking soldiers who stand ready to meet any challenge with @SecArmy Mark Esper yesterday in DC. Please join me in expressing our sincerest gratitude to our servicemembers. Happy #ArmyBDay https://t.co/KsqVMg1KV8	CongressmanHice
Thu Jun 14 14:22:36 +0000 2018	5	2	Great talking with y'all in the office this morning. As the third largest manufacturing sector in Georgia,  I appreciate hearing from folks on the ground about the chemical industry’s footprint in #GA10 &amp; the state as a whole. Thanks for your thoughts &amp; insight! #ChemistryMatters https://t.co/UfXDTtT4Q7	CongressmanHice
Thu Jun 14 13:51:25 +0000 2018	9	6	As we commemorate the 241st anniversary of its adoption, let's pledge allegiance to the red, white, and blue fabric that represents our Nation's freedom. Today, and every day, we salute the men &amp; women in uniform who protect liberty and justice for all Americans. Happy #FlagDay! https://t.co/eoRBSGVdHM	CongressmanHice
Thu Jun 14 12:24:41 +0000 2018	4	7	Joining Tim Farley live now on @MorningBriefing to discuss the McCabe lawsuit, the inspector general report, and more on @SIRIUSXM. Tune in live: https://t.co/sQoSHnlgdQ https://t.co/u3BhCZy0C7	CongressmanHice
Wed Jun 13 22:21:01 +0000 2018	14	8	The Department of Justice is accountable to Congress, plain and simple. With this resolution, the House is clearly stating its resolve to fulfill its constitutional duty to provide oversight and get answers for the American people. Time for the DOJ to #DeliverTheDocs. https://t.co/SXzENOccYe	CongressmanHice
Fri Jun 15 14:07:32 +0000 2018	0	41	RT @CongressmanRaja: The President of the United States just expressed envy for the ability of a murderous Stalinist dictator to maintain t…	CongressmanRaja
Fri Jun 15 13:27:23 +0000 2018	53	41	The President of the United States just expressed envy for the ability of a murderous Stalinist dictator to maintain the rapt attention of the entire country he holds hostage under threat of torture, exile to slave labor camps, and execution. https://t.co/0I7GR8hatf	CongressmanRaja
Thu Jun 14 21:36:38 +0000 2018	7	2	Thank you for coming by to discuss this important issue https://t.co/4YGem1VqvE	CongressmanRaja
Thu Jun 14 20:01:24 +0000 2018	96	28	As a Hindu, I come to questions of what's biblical and what isn't as an outsider, but if separating children from their parents is, isn't that one of the parts we've generally agreed to move past? https://t.co/r4fkV5ViSJ	CongressmanRaja
Thu Jun 14 17:29:53 +0000 2018	6	3	About to join the folks of @OutnumberedFNC on Fox News to talk DOJ and FBI. Tune in at 12:30 PM CT!	CongressmanRaja
Thu Jun 14 23:59:04 +0000 2018	0	1	RT @JeffPohjola: First pitch a grounder to Rep. @SteveScalise at second, who turns a quick throw to first to get @CongressmanRuiz for the f…	CongressmanRuiz
Thu Jun 14 21:09:48 +0000 2018	14	1	We have a responsibility to treat all children with respect, dignity, and humanity. (4/4)	CongressmanRuiz
Thu Jun 14 21:09:48 +0000 2018	15	5	This trauma will have severe long-term health consequences and puts many of   these children at great risk of human trafficking. I am appalled by the Administration’s policies and they must end. (3/4)	CongressmanRuiz
Thu Jun 14 21:09:48 +0000 2018	11	1	Many of these children are seeking asylum from unspeakable violence and this administration is adding to their suffering by imposing the extreme psychological trauma of being separated from their parents. (2/4)	CongressmanRuiz
Thu Jun 14 21:09:48 +0000 2018	28	12	Separating young children from their parents is horrifying and inhumane, and goes against the very core of our values as Americans. (1/4)	CongressmanRuiz
Wed Jun 06 23:08:34 +0000 2018	901	284	Thank you Mr. President @realDonaldTrump It’s my honor to back you up &amp; help save America. https://t.co/oqs3U9HqFF	DanaRohrabacher
Wed May 16 11:50:06 +0000 2018	163	84	"Kudos to President Trump for hammering California politicians who have foisted the Sanctuary State law on local law enforcement, preventing cooperation with federal authorities in dealing with illegal alien criminals. Glad he recognized the good guys #CA48
https://t.co/8z1BrEagAl"	DanaRohrabacher
Tue May 08 03:29:24 +0000 2018	118	51	Hurray! Hero Ollie North has taken lead in defending our #2ndAmendment rights. Ollie &amp; I've worked together since our days at Reagan WH. Looking fwd 2 working w him in yrs ahead:) #NRA #2A https://t.co/q7hAxlLQ9S	DanaRohrabacher
Sun Apr 22 05:57:28 +0000 2018	168	69	Last time we had this much winning in the world was when Reagan was Pres. I was proud to be Special Ass't to Reagan then &amp; I'm proud to support @realDonaldTrump now. https://t.co/o8c2iKPQdQ	DanaRohrabacher
Thu Apr 19 15:10:00 +0000 2018	189	107	"We are going to hold California's 48th district for the Republican Party and for President Trump. Nancy Pelosi is not going to be speaker again! #CA48 #RedWave
https://t.co/4PG0UnyJgZ"	DanaRohrabacher
Fri Jun 15 16:46:42 +0000 2018	150	61	Yesterday's #IGReport shows how the FBI became infected with politics and continuously disregarded rules and procedures to the detriment of @realDonaldTrump and benefit of Hillary Clinton. https://t.co/T8bI3f1XA8	DarrellIssa
Thu Jun 14 19:36:19 +0000 2018	349	172	Today’s #IGReport sheds new light on the cumulative bias at the highest levels of the FBI. If we are to restore faith in the FBI as an institution, we must clean house to reestablish the American people’s confidence in the Bureau. https://t.co/LYnceRemKe	DarrellIssa
Thu Jun 14 17:36:47 +0000 2018	0	16366	RT @realDonaldTrump: Happy #FlagDay🇺🇸 https://t.co/KEUMfnoHIv	DarrellIssa
Thu Jun 14 13:16:14 +0000 2018	112	22	Happy 243rd birthday @USArmy! I'm proud to have served in the finest fighting force in the world. Thanks for letting me cut the cake yesterday and celebrate over two centuries of service to the United States. #Hooah #ArmyBDay https://t.co/7dUn8XZY3u	DarrellIssa
