	date	likes	retweets	text
128	Tue Feb 13 10:52:47 +0000 2018	107178	22654	Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R
129	Tue Feb 13 10:43:22 +0000 2018	106007	22904	Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN
130	Mon Feb 12 20:48:16 +0000 2018	67801	14385	The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE
131	Mon Feb 12 12:54:32 +0000 2018	87061	16846	Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi
132	Mon Feb 12 12:46:56 +0000 2018	139427	30419	This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er
133	Sun Feb 11 20:36:08 +0000 2018	77724	14962	Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI
134	Sun Feb 11 20:26:03 +0000 2018	97518	24154	Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU
135	Sun Feb 11 19:15:32 +0000 2018	125067	25093	4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently… https://t.co/oJl5AiCPZs
136	Sun Feb 11 18:21:48 +0000 2018	123854	31119	So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negativ… https://t.co/LBnzRfAkJx
137	Sat Feb 10 23:34:08 +0000 2018	119315	32064	My Administration has identified three major priorities for creating a safe, modern and lawful immigration system:… https://t.co/DrjXUak41S
138	Sat Feb 10 21:18:23 +0000 2018	85050	20518	My thoughts and prayers are with the two police officers, their families, and everybody at the @WestervillePD. https://t.co/AoingY77Ky
139	Sat Feb 10 18:50:02 +0000 2018	118181	30536	Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in… https://t.co/0Or3U2CFZR
140	Sat Feb 10 18:34:49 +0000 2018	75803	19980	....agencies, not just the FBI &amp; DOJ, now the State Department to dig up dirt on him in the days leading up to the… https://t.co/Of9d7fmsA3
141	Sat Feb 10 18:16:20 +0000 2018	101470	25842	“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier… https://t.co/dWJuKECfwn
142	Sat Feb 10 15:33:35 +0000 2018	136931	37326	Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are ol… https://t.co/6Zz5RAeoQe
143	Sat Feb 10 15:20:05 +0000 2018	105693	32845	According to the @nytimes, a Russian sold phony secrets on “Trump” to the U.S. Asking price was $10 million, brough… https://t.co/CBMaAX5VMt
144	Sat Feb 10 14:20:35 +0000 2018	117661	32367	The Democrats sent a very political and long response memo which they knew, because of sources and methods (and mor… https://t.co/iR1265rmh3
