	Unnamed: 0	date	likes	retweets	text	filtered_text	polarity	subjectivity
447	447	Sun Jan 21 00:47:40 +0000 2018	153188	31304	The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administ… https://t.co/SFS1cXtdx5	The Trump Administration has terminated more UNNECESSARY Regulation in just twelve months than any other Administ 	-0.00833333333333334	0.5916666666666667
448	448	Sun Jan 21 00:40:18 +0000 2018	0	41782	RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…	RT realDonaldTrump Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger	0.16	0.5700000000000001
449	449	Sat Jan 20 22:31:27 +0000 2018	129495	28455	Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military… https://t.co/S9Vev9LI6r	Unprecedented success for our Country in so many ways since the Election Record Stock Market Strong on Military 	0.3466666666666666	0.44666666666666666
450	450	Sat Jan 20 18:51:24 +0000 2018	206948	52362	Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate… https://t.co/0mof82VUry	Beautiful weather all over our great country a perfect day for all Women to March Get out there now to celebrate 	0.8833333333333333	0.9166666666666666
451	451	Sat Jan 20 14:27:54 +0000 2018	166706	43975	Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!	Democrats are holding our Military hostage over their desire to have unchecked illegal immigration Cant let that happen	-0.3	0.3
452	452	Sat Jan 20 11:47:42 +0000 2018	122090	31154	#AMERICA FIRST!	AMERICA FIRST	0.25	0.3333333333333333
453	453	Sat Jan 20 11:44:01 +0000 2018	153287	39504	For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win mo… https://t.co/VAQ4O1yYv5	For those asking the Republicans only have 51 votes in the Senate and they need 60 That is why we need to win mo 	0.4	0.7
454	454	Sat Jan 20 11:33:35 +0000 2018	122479	29956	This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown	This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present DemocratShutdown	0.3	0.5
455	455	Sat Jan 20 11:17:10 +0000 2018	143382	41782	Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dan… https://t.co/eHAkBL3AjB	Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dan 	0.16	0.5700000000000001
456	456	Sat Jan 20 02:28:56 +0000 2018	116178	30775	Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shu… https://t.co/Zs62ydrvwQ	Not looking good for our great Military or Safety amp Security on the very dangerous Southern Border Dems want a Shu 	0.12399999999999997	0.49000000000000005
457	457	Fri Jan 19 22:17:53 +0000 2018	64344	12860	Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military t… https://t.co/EC7lpgkNxk	Excellent preliminary meeting in Oval with SenSchumer  working on solutions for Security and our great Military t 	0.5666666666666667	0.6166666666666667
458	458	Fri Jan 19 20:53:17 +0000 2018	127704	27454	Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wron… https://t.co/20fZau7RFT	Just signed 702 Bill to reauthorize foreign intelligence collection This is NOT the same FISA law that was so wron 	-0.0625	0.125
459	459	Fri Jan 19 18:39:50 +0000 2018	95843	24592	Today, I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s… https://t.co/eZL7D5NtYg	Today I was honored and proud to address the 45th Annual March_for_Life You are living witnesses of this years 	0.8	1.0
460	460	Fri Jan 19 16:28:29 +0000 2018	49118	15315	“Shutting down the government is a very serious thing. People die, accidents happen. I don’t know how I would vote… https://t.co/UdjOG3Ynvl	Shutting down the government is a very serious thing People die accidents happen I dont know how I would vote 	-0.29444444444444445	0.5777777777777778
461	461	Fri Jan 19 16:14:05 +0000 2018	43669	8411	".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...
https://t.co/0O0VsYXmHB"	WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney	0.0	0.3
462	462	Fri Jan 19 12:04:47 +0000 2018	109689	25556	Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass… https://t.co/xK33TIW16o	Government Funding Bill past last night in the House of Representatives Now Democrats are needed if it is to pass 	-0.125	0.15833333333333333
463	463	Thu Jan 18 23:39:53 +0000 2018	100881	20024	House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!	House of Representatives needs to pass Government Funding Bill tonight So important for our country  our Military needs it	0.15000000000000002	0.55
464	464	Thu Jan 18 21:04:36 +0000 2018	102499	25815	AMERICA will once again be a NATION that thinks big, dreams bigger, and always reaches for the stars. YOU are the o… https://t.co/VYcBBrQ3pG	AMERICA will once again be a NATION that thinks big dreams bigger and always reaches for the stars YOU are the o 	0.0	0.3
465	465	Thu Jan 18 20:45:33 +0000 2018	75221	15055	Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world t… https://t.co/hig8AOxDFs	Departing Pittsburgh now where it was my great honor to stand with our incredible workers and to show the world t 	0.8500000000000001	0.825
466	466	Thu Jan 18 13:49:11 +0000 2018	89817	21494	A government shutdown will be devastating to our military...something the Dems care very little about!	A government shutdown will be devastating to our militarysomething the Dems care very little about	-0.621875	0.825
467	467	Thu Jan 18 13:37:24 +0000 2018	62069	11877	CHIP should be part of a long term solution, not a 30 Day, or short term, extension!	CHIP should be part of a long term solution not a 30 Day or short term extension	-0.025	0.35
468	468	Thu Jan 18 13:16:26 +0000 2018	122610	28697	We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of dr… https://t.co/wlyEE41v2w	We need the Wall for the safety and security of our country We need the Wall to help stop the massive inflow of dr 	0.0	1.0
469	469	Thu Jan 18 12:53:17 +0000 2018	84676	16978	Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Sp… https://t.co/zPK4tKI6Vp	Will be going to Pennsylvania today in order to give my total support to RICK SACCONE running for Congress in a Sp 	0.0	0.75
470	470	Thu Jan 18 11:25:03 +0000 2018	111012	27690	....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a… https://t.co/J09b17pLIi	The Wall will be paid for directly or indirectly or through longer term reimbursement by Mexico which has a 	0.1	0.4
471	471	Thu Jan 18 11:15:25 +0000 2018	93559	21256	The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of neces… https://t.co/3UJscR3WGL	The Wall is the Wall it has never changed or evolved from the first day I conceived of it Parts will be of neces 	0.25	0.3333333333333333
472	472	Thu Jan 18 01:11:26 +0000 2018	177214	39301	ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much mor… https://t.co/pXV43doqxa	ISIS is in retreat our economy is booming investments and jobs are pouring back into the country and so much mor 	0.1	0.1
