	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	date	likes	retweets	text	filtered_text	polarity	subjectivity
46	46	46	46	46	46	46	46	46	46	Tue Apr 10 20:02:26 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
47	47	47	47	47	47	47	47	47	47	Tue Apr 10 20:02:26 +0000 2018	0	0	RT @NewEuropeans_UK: Check out New Europeans' conference report providing an overview of the issues discussed at our latest conference toge…	neweuropeans_uk check out new europeans conference report provide an overview of the issue discuss at our latest conference toge	0.3181818181818182	0.6772727272727272
48	48	48	48	48	48	48	48	48	48	Tue Apr 10 20:02:26 +0000 2018	0	0	Dear God https://t.co/OkUiC464m2	dear god	0.0	0.0
49	49	49	49	49	49	49	49	49	49	Tue Apr 10 20:02:26 +0000 2018	0	0	"RT @Brink_Token: Send 0.5 - 1 ETH get exclusive rights to Brink Inc + 20 Million BRTK + 10 Million of our next tokens and full refund 
+ Bo…"	brink_token send 05 1 eth get exclusive right to brink inc 20 million brtk 10 million of our next tokens and full refund bo	0.2119047619047619	0.36190476190476195
50	50	50	50	50	50	50	50	50	50	Tue Apr 10 20:02:26 +0000 2018	0	0	@_jackelineee ...did I not say it was a serious issue? I did. Did I say they shouldn’t have given those rights? I d… https://t.co/UZ56rATIou	_jackelineee do i not say it be a serious issue i do did i say they shouldnt have give those right i d	-0.023809523809523808	0.6011904761904762
51	51	51	51	51	51	51	51	51	51	Tue Apr 10 20:02:27 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
52	52	52	52	52	52	52	52	52	52	Tue Apr 10 20:02:27 +0000 2018	0	0	RT @4aPeoplesParty: #EqualPayDay takes place every year on the 2nd Tues of April to symbolize how far into the year women must work to earn…	4apeoplesparty equalpayday take place every year on the 2nd tues of april to symbolize how far into the year women must work to earn	0.05	0.5
53	53	53	53	53	53	53	53	53	53	Tue Apr 10 20:02:27 +0000 2018	0	0	RT @GoDiegitoGo: If your girlfriend talks to you about her feelings and things she wants to work on and you think that’s her “complaining”,…	godiegitogo if your girlfriend talk to you about her feel and things she want to work on and you think thats her complain	0.0	0.0
54	54	54	54	54	54	54	54	54	54	Tue Apr 10 20:02:27 +0000 2018	0	0	RT @EssexHRC: .@GPDPD_  supports @HRDP2 in developing international guidelines for human rights in drug policy on behalf of the German Fede…	essexhrc gpdpd_ support hrdp2 in develop international guidelines for human right in drug policy on behalf of the german fede	0.07142857142857142	0.15892857142857142
55	55	55	55	55	55	55	55	55	55	Tue Apr 10 20:02:27 +0000 2018	0	0	Another thing to keep in mind – Mueller did the no-knock, guns-drawn, dawn raid on Manafort and got everything Mana… https://t.co/dQ4tGHhjAe	another thing to keep in mind mueller do the noknock gunsdrawn dawn raid on manafort and get everything mana	0.0	0.0
